,comment,likes,label,score
0,I keep watching this over and over. This is just too beautiful.,29.0,NEGATIVE,0.9245781898498535
1,Best commercial to come out of the Olympics this year!!! ️️,12.0,POSITIVE,0.999146580696106
2,We need more of this right now ,3.0,NEGATIVE,0.9948517680168152
3,This is a beautiful video and I really don't understand how some people don't see the bigger picture..honestly some people need to grow up and move on with their lives..because hating something won't make anything better.,6.0,POSITIVE,0.9973495006561279
4,"I don't know if this is a good sign for this commercial or not, but whenever it comes on, the only thing I can think about is how much I miss Maya Angelou.",1.0,NEGATIVE,0.9992691874504089
5,"My goodness, with everything happening in America currently and the world around us- this needs to be played more often. “We are more alike my friends than unalike” we have more in comment than what decides us,. Learn  to speak to another human being instead always watching the news to educate you on both sides, you will discover that we do have more in comment. Blessings to all!",1.0,POSITIVE,0.9956562519073486
6,This is an awesome ad the whole world should take notice of !!!,37.0,POSITIVE,0.9998102784156799
7,Could not agree more with Peter MacDonough 'Best commercial to come out of the Olympics this year!!! ' It illustrates our common humanity in our diversity,,POSITIVE,0.9988079071044922
8,This is what makes apple such a successful company. They’re ability to advertise.,1.0,POSITIVE,0.9998030066490173
9,i read the comment section and one of the people said this wasnt gonna convince them to buy an iphone...i didnt even realise this was for a iphone i thought it was one of those amazing videos,11.0,NEGATIVE,0.7700945734977722
10,Long live queen maya,1.0,POSITIVE,0.9975706934928894
11,This is the most beautiful thing I have ever seen,3.0,POSITIVE,0.999854326248169
12,Not a fan of Apple. But I like this ad,14.0,POSITIVE,0.9983358979225159
13,that's some deep shit right there bro lmao,1.0,NEGATIVE,0.950052797794342
14,"Lmfao it's pretty ironic how much hate it in the comments. I get it's an ad and they want you to buy their product, but the poem is beautiful and its sad that people completely missed the message bc they're so used to being fueled by hate smh.",8.0,NEGATIVE,0.8154377341270447
15,Bars,3.0,POSITIVE,0.5459613800048828
16,"The narrator has such a hilarious voice, but it works so well with the poem",2.0,POSITIVE,0.9998593330383301
17,I really like this commercial,,POSITIVE,0.9979280233383179
18,"As a black person myself, I ask this! If we were really more alike than unalike, then where are our hospitals? Where are our gas stations? Where are our supermarkets? Where are our industrial trade unions? Where are our distribution networks? Where are our banks and credit unions? Where are our business loans? Where are our private and independent residential schools and school boards? Where are our own police departments? Where is our economic base? Stop making racism so damn emotional because it's not! Prejudice is emotional, attitudes are emotional, but true racism is a POWER relationship! ",1.0,NEGATIVE,0.9988419413566589
19,"I saw this commercial when I was high as shit 
It was an experience",30.0,NEGATIVE,0.9968576431274414
20,"I saw this on the tv the other day, I've never watched an advert more beautiful",31.0,POSITIVE,0.99309241771698
21,love you and miss you Mother Maya!! long live Maya Angelou!!,2.0,POSITIVE,0.999835729598999
22,So much hate and anger in these comments. It's insane. Just watch the ad. Let your mind wander. And chill tf out.,87.0,NEGATIVE,0.964996337890625
23,Commercial shouldve won an award,,POSITIVE,0.9947216510772705
24,Powerful,3.0,POSITIVE,0.9998699426651001
25,this is so cute!,,POSITIVE,0.999861478805542
26,"RIP maya angelou 
I miss you so much",25.0,POSITIVE,0.9996057152748108
27,"Don't have an Apple not going to get an Apple can't afford an Apple and don't really like Apple but, love this video and the meaning it gives me.",,POSITIVE,0.9996709823608398
28,“We are more alike my friends than we are Un-alike”,1.0,POSITIVE,0.9945774078369141
29,"White is not bad.  Black is not bad.  Japenese are not bad.  Just like U.S.A is not bad.  We think different thoughts.  Though they can be the same.  We can both hold hands without having heart attacks.  Sometimes,  Blacks do bad things.  Just like whites.  No race is worse than the other.  Unless you make it that way.  We are all the same.  With different looks,  personalitys,  and traits.",9.0,POSITIVE,0.9964808821678162
30,Maya Angelou was really an undercover rapper.,32.0,POSITIVE,0.8648475408554077
31,Wow.....if only we ALL believed!,1.0,POSITIVE,0.99909508228302
32,Anyone know the name of the piano song in the background?,6.0,NEGATIVE,0.9978747367858887
33,Somehow I knew that when I scrolled down I would see negative comments about this video...its pretty sad.,14.0,NEGATIVE,0.9997054934501648
34,ITS TRUE ITS TRUE MY FRIENDS,,POSITIVE,0.9998624324798584
35,a commercial for a commercail.ive seen it all.,,NEGATIVE,0.9981124401092529
36,who is performing the voice over in the commercial?  she sounds like Maya Angelou but i think she passed  away a few years bank.,,NEGATIVE,0.9991720914840698
37,came here to make myself cry.,1.0,NEGATIVE,0.9845553040504456
38,Hell YA!!!!,,NEGATIVE,0.9764552712440491
39,There's an ad before I can watch an ad smh,1.0,NEGATIVE,0.9995697140693665
40,R.I.P maya,,POSITIVE,0.9598221182823181
41,"If this was for a different phone, there would be no such thing as hate. I don't understand why iPhone sucks I mean all phones suck to me.",,NEGATIVE,0.9995868802070618
42,Why did apple take it down,,NEGATIVE,0.9984014630317688
43,Lol am I the only one that heard his voice and thought of Edna Mode from The Incredibles ,1.0,POSITIVE,0.5242975950241089
44,workers of the world unite,,POSITIVE,0.9985210299491882
45,0:24 ,,POSITIVE,0.8629846572875977
46,Does anyone know what the background music is?,,NEGATIVE,0.9991342425346375
