,comment,likes,label,score
0,"I'm not a fan of Apple products, but I must say that this ad would get me to buy one. Fair play to the Apple marketing team, they know how to make an ad!!",132.0,POSITIVE,0.5862014889717102
1,It’s kind of sad but this commercial means so much to me. “That the powerful play goes on and you may contribute a verse” is tattooed on my hip. Honestly right now I’m having a breakdown and circling back to this. It’s a commercial…,22.0,POSITIVE,0.9914313554763794
2,Apparently I’m not the only one who had to watch this for English,477.0,NEGATIVE,0.9956541061401367
3,So often i come back to this just to feel sometype of way. This ad is one of  the best Apple has ever put out,80.0,POSITIVE,0.999651312828064
4,This is still the greatest commercial ever made,7.0,POSITIVE,0.9996984004974365
5,Darn you Apple now I have to be ‘inspired’ to write a poem,27.0,POSITIVE,0.9921561479568481
6,"Robin Williams:

 The humble stand-up made the world laugh.
 I improvised every second.",,POSITIVE,0.9987151622772217
7,Now we got to watch at add for quarantine homework,118.0,POSITIVE,0.9300649166107178
8,"Robin Williams words here could be used as words of Inspiration. Thank you, Apple, for giving us this.  Not many people can read with implied Passion.",19.0,POSITIVE,0.9991939663887024
9,Well I came here because we had to watch this for homework,388.0,NEGATIVE,0.7021865844726562
10,One of the all time great commercials. The message is so true and delivered expressively. There’s even a quote from Walt Whitman. I’m guessing this why so many English students are watching this.  Probably because they are reading Whitman for English class. This commercial brings it to life.,3.0,POSITIVE,0.9997625946998596
11,All these comments are about how people have to watch this for class and I'm here because it's the most beautiful and inspiring commercial I've ever seen featuring my favorite speech in any movie. You are here and life exists.,14.0,POSITIVE,0.9998425245285034
12,Why does my online classes make me watch this,10.0,NEGATIVE,0.8564879298210144
13,One of the best Apple commercials. Probably the best iPad commercial.,,POSITIVE,0.9997368454933167
14,"Mrs. Troger, I really don't wanna do this, but you make me. I will remember this betrayal.",7.0,POSITIVE,0.9989610910415649
15,"Even though watching this as part of English class wasn't all that great(and writing a essay on it), the message and commercial itself is pretty nice.",,POSITIVE,0.9997187256813049
16,"Robin, I'm so proud of u",1.0,POSITIVE,0.9998564720153809
17,"ik we here bcuz we gotta point out the 3 most memorable moments, the message of the ad, and why the director thought of this.",5.0,POSITIVE,0.9876523017883301
18,"Folks, if your English teacher made you watch this for homework, your teacher ain't half bad.  This is an awesome video and a great poem.  Try reading The Glass Menagerie or any of the massively depressing classics.  You'll be begging to scour youtube for videos like this.",,POSITIVE,0.8847487568855286
19,Who else had to watch this in class?,175.0,NEGATIVE,0.9968151450157166
20,This is poetical science at its best. Ada Lovelace would be proud.,,POSITIVE,0.9998600482940674
21,"Best ad crafter in the XXI century, so far.",,POSITIVE,0.9997472167015076
22,That leaves me to tears,27.0,NEGATIVE,0.9567364454269409
23,Watched this in class sophomore year and now when I’m at my lowest this pushes me,2.0,POSITIVE,0.972342312335968
24,All the comments about how you had to watch this video for homework. I need to analyze this commercial and write an essay about it. Thanks Apple and Walt Whitman.,1.0,POSITIVE,0.9830179214477539
25,"It is SOOO disheartening to see so many people here JUST because it’s homework.  Walt Whitman wrote the poetry 150 years ago.  Robin Williams gave it a voice and a place in the American conscience 30 years ago, and Apple made that all into art.  This work is a continually evolving work of Americana.  Please, PLEASE don’t just think of it as a grade.  This came to you from 150 years of emotion and inspiration.  Whitman, Williams and Jobs are all gone now, but this is still here.  It’s has purpose and identity.",,POSITIVE,0.996496856212616
26,"""What will your verse be?"" brilliant",5.0,POSITIVE,0.999818742275238
27,this ad changed everything,,POSITIVE,0.9788716435432434
28,挺好的，这作业太深奥了,2.0,NEGATIVE,0.9232223629951477
29,"“O’ Me! O Life!”

Answer.",20.0,POSITIVE,0.9992606043815613
30,Great! What a brilliant reuse of an old movie dialogue!,33.0,POSITIVE,0.999849796295166
31,I’m curious to see what people think concerning how Apple uses a voiceover from one do the best movies ever made. Are they trying to use someone else’s success to advertise their products?,1.0,POSITIVE,0.7708768844604492
32,"Live for beauty, romance, and love:)",1.0,POSITIVE,0.9997857213020325
33,"What is the message of the ad? How does Whitman’s “O Me! O Life!” poem connect? 
O me! O life!... of the questions of these recurring;
Of the endless trains of the faithless — of cities fill’d with the foolish;
Of myself forever reproaching myself, (for who more foolish than I, and who more faithless?)",1.0,NEGATIVE,0.9008408784866333
34,Powerful,,POSITIVE,0.9998699426651001
35,"ah yes, I see i'm not the only one the only one who had to watch this for English class",3.0,NEGATIVE,0.9682734608650208
36,I love ya Robin,1.0,POSITIVE,0.9998571872711182
37,"Apple Ad
Refers to build quality of i Pad air
English Teachers
How this refer to Steve job's depression?",49.0,NEGATIVE,0.998145341873169
38,my English teacher is having us answer questions about an apple ad...,,NEGATIVE,0.8999334573745728
39,"Why are we all here
For English class",35.0,POSITIVE,0.6597889065742493
40,"idk why, but my head is like hey these parts seem like you sped up the video but I literally didn't. My brain bein weird after watching same 1.5 minute clip many times in a row after midnight",,NEGATIVE,0.9983543157577515
41,we still watching this for school,,POSITIVE,0.5155196189880371
42,Robin Williams...  <3  R.I.P.  xX,1.0,POSITIVE,0.9743796586990356
43,how does this commercial relate someone help lmao,1.0,NEGATIVE,0.9924351572990417
44,what the heck apple now i have to do an english assignment,87.0,NEGATIVE,0.9971653819084167
45,O captain my captain,1.0,POSITIVE,0.997796893119812
46,Oh captain my captain,7.0,POSITIVE,0.9937171936035156
47,The english class cycle continues,1.0,POSITIVE,0.9979630708694458
48,All that... just for an iPad.,2.0,NEGATIVE,0.9971743822097778
49,lmao im here for an assignment for english,2.0,NEGATIVE,0.9699222445487976
50,RIP KOBE,5.0,NEGATIVE,0.875363290309906
51,"""My Verse Be,

 See Me

 Feel Me

 Get Near Me",1.0,POSITIVE,0.9978637099266052
52,lol who else had to watch this for your english class,1.0,NEGATIVE,0.9105032682418823
53,comments from four whole years ago and we're still being taught the same stuff in school ?? damn,,NEGATIVE,0.9922372698783875
54,Is there anyway to download this audio?,,NEGATIVE,0.9984596967697144
55,y'all are too young lol,2.0,NEGATIVE,0.9871216416358948
56,"judging by the comments, everyone here is here because of school. good luck guys, hope everyone gets an A",84.0,POSITIVE,0.9993202686309814
57,I don't KNOW how Walter Whitman's O Me O Life relates to a STEVE JOBS commercial.,15.0,NEGATIVE,0.9732065200805664
58,"ah yes
school",1.0,POSITIVE,0.9979594945907593
59,Watching this for engligh too lmfao,10.0,POSITIVE,0.9677457809448242
60,R.I.P SHEEL,4.0,POSITIVE,0.9906904697418213
61,wow!,,POSITIVE,0.999649167060852
62,Here coz of Donald Miller! :),1.0,NEGATIVE,0.7040762305259705
63,O Me O Life this is a hard hw assignment,1.0,NEGATIVE,0.9862844944000244
64,Robin Williams my favorite ,1.0,POSITIVE,0.9996895790100098
65,Welcome to another episode of: “where my recommendations have brought me to”,1.0,POSITIVE,0.9979186654090881
66,Wow I’m inspired to migrate :),1.0,POSITIVE,0.9978927969932556
