,comment,likes,label,score
0,"Been using my iPad Air everyday for like 5 years now and it still delivers except on the multitasking category. I just got an iPad 8th gen today because I need its multitask function. My Air is officially retiring today. Till next time, old friend!",52,positive,0.7748041749000549
1,"This was my first ever iPad, and I’m still using it now (though I’m getting the m2 iPad Pro tomorrow). It’s crazy to think that at the time, 256gb was seen as a lot (that’s the one I got). I love this iPad, and it still works but I just decided to finally upgrade.",4,positive,0.9451262354850769
2,"7 years ago...and my iPad Air 1st generation still working! The battery is still great, also my iPad survived some falls lol. Amazing.",8,positive,0.9877403378486633
3,"""Battery life varies by use and configuration.""

Love how they slipped that in there.",80,positive,0.5334566235542297
4,"The statements are reflective to the actual product. No exaggerations, indeed a Masterpiece as of posting. I just got mine and absolutely an amazing tablet.  ",4,positive,0.9767293930053711
5,I got an iPad air as a birthday gift this year. It's actually so much better than what I would think a device from 2013 would be! :),1,positive,0.9828154444694519
6,Yeah thanks Apple for maintaining the “rigidity” of the iPad with the all screen iPad Pro that you can snap with your hands.,6,positive,0.8862536549568176
7,"iPad Air commercials in 2013: *offering a lot of insight, details and many daily life scenarios *

iPad Air commercials now: WEE WEE colors boing boing",26,neutral,0.5030899047851562
8,"This was my first iPad, it was my high school graduation gift from my parents, I had it from 2014-2020. Now I have a 4th generation iPad Pro.",6,positive,0.791472315788269
9,My iPad Air still rocks!,168,positive,0.978040337562561
10,Eu amo meu iPad Air. Ele é meu primeiro dispositivo da Apple. ,1,neutral,0.5856812000274658
11,"It has a different processor, which makes it two times faster then the previous Ipad, it's not just the size difference that has changed",2,positive,0.783286452293396
12,"Just so you know, there's been retina display in every iPad since iPad 3 including this one! Also, apple has included retina display on new iPad mini.",1,positive,0.7793928384780884
13,"I currently still have iPad Air 1 which belongs to my mom now. Since I got that on December 2013, it has been my first iPad to belong to me. It only had 32gb of storage but it was ok though. I can't say how it is beautiful by its design , it makes the new change from the previous version to become modern nowadays until 2018 iPad Pro. Unfortunately it now needs battery replacement as it drains a lot of battery % faster than before, even with being less used. It still works as brand new, even home and sleep/wake button which are heavily used. Now I have an iPad Pro 9.7"" from 2016, which reminds me of the iPad Air 1 design, expect it has 4 speakers and a flashlight (which I don't always need at all). I'm gonna to upgrade with iPad Air 4 soon, but I'm still not forget to see the iPad Air 1 again ",2,positive,0.7247252464294434
14,I really love this new thinner version of the iPad,2,positive,0.9874988198280334
15,"Bought one yesterday, superb in every way thank you ",2,positive,0.9823702573776245
16,anyone else using the old iPad air introduction video as a laxative? His voice is just so soothing. how can you not relax every muscle in your body while looking at this?,1,positive,0.9057942628860474
17,My iPad Air will never die,2,positive,0.9084697365760803
18,"“Up until now 64 bit architecture was something you can normally only find in desktop computers”

Currently the iPad Pro 2020’s CPU is more powerful than the MacBook Pro 13 inch. iPad has gotten really powerful.",6,positive,0.8961991667747498
19,"7 years later and mine’s 
still working fine",1,neutral,0.5228893160820007
20,Esto me encanto,1,neutral,0.701727032661438
21,Это прекрасно!!!,2,neutral,0.5662015080451965
22,My neighbor has the iPad Pro 2020 version but I still think my old iPad Air is sweet also battery lasts for ages,1,positive,0.7416446208953857
23,"I'm getting this for my birthday tomorrow, so exited!",1,positive,0.9906932711601257
24,"I buy this since 2014 ,an amazing device , i will change for a iPad Pro 10.5 hope give the  same experience of the iPad Air",1,positive,0.9786815047264099
25,I had use the iPad 4 with retina display for school but I didn't find it usable for school/work related things.  The reason why we have the Surface 2 and the iPad is because people prefer different things.  I understand you are a fan of Apple but I can assure that I didn't mean anything else other than giving my opinion on what @Nathan Kump should pick.,1,neutral,0.5153875946998596
