,comment,likes,label,score
0,Just love this ad so muchhhhhhhh,5,positive,0.9851599931716919
1,Fantabulous ad. Amazing. ,1,positive,0.9812125563621521
2,Fantastic ad!,1,positive,0.9762318730354309
3,Can you please upload the video from the event that show about how iPad spread to many usage? They showed the video before introduce the iPad Air. Thank you.,1,neutral,0.5979021787643433
4,I always watch this ad just thinking it's about pencils. Forget the tech product. It's a beautiful love letter to pencils. Pencils are awesome. I love pencils.,1,positive,0.9831491708755493
5,bravo!!!,1,positive,0.886577844619751
6,here after release of ipad air 4 lol,1,neutral,0.6876057982444763
7,Who's Chuck Norris - Apple raised Walter White from the dead!,1,neutral,0.7302000522613525
8,want a better resolution,1,neutral,0.510541558265686
9,I came for bryan cranston. That is all.,1,neutral,0.6866077184677124
10,"Yeah Bitch, iPad Air!",1,positive,0.4650910794734955
11,Skyleeer! Where is my money?!!!,1,negative,0.7850827574729919
12,ONLY HERE TO HEAR HEISENBERG!!! ,1,positive,0.7986410856246948
13,Can it be used to cook meth? ,2,neutral,0.8643046021461487
14,want want want ,1,neutral,0.6492096185684204
15,Whaddup Bryan Cranston! ,1,positive,0.49892348051071167
16,To Android users : Say my name,1,neutral,0.8522716164588928
17,HEISENBERG!! ,1,positive,0.7617642879486084
