,comment,likes,label,score
0,"Maravilhosa essa propaganda. Nós faz sentir que o amanhã será melhor que o presente.
      ",1,negative,0.49167269468307495
1,"It's been a while i bought any type of soda or processed drink. I just love the message regardless. I really needed this.
      ",2,positive,0.848419189453125
2,"I literally just had a dream about 2 people ordering a ""George and coke"" when I was working on a busy bar and walking away... So I looked it up to see if it was a thing. Not the worst way to spend a minute of my life.
      ",1,negative,0.5040703415870667
3,"Such a beautiful poem
      ",1,positive,0.9542697072029114
4,"That is just awesome! Well done! Thank you for that beautiful poem and video! ️
      ",6,positive,0.9872762560844421
5,"Bring back original coca cola song ..I'd like to teach the world to sung in harmony
      ",4,positive,0.7041947841644287
6,"Probably the most optimistically Orwellian advert I've ever seen lol
      ",158,positive,0.6142408847808838
7,"Seems like the most motivating video I've ever seen
      ",2,positive,0.9693255424499512
8,"THIS POEM
      ",1,neutral,0.6857839226722717
9,"This is good!!
      ",1,positive,0.9848402142524719
10,"I found out the other day that Coca-Cola is the single largest producer of plastic waste in the entire world. Maybe the new normal should be no more plastic bottles? Time to start over, Coke.
      ",32,negative,0.830707311630249
11,"Like Never Before....
      ",1,neutral,0.6699252724647522
12,"Beautiful poetry. Thank you George I am here only for your art.
      ",8,positive,0.9778645634651184
13,"Yeah, what if we are #OpenLikeNeverBefore and actually start drinking Pepsi! I hope we don't go back to Coca-Cola.
      ",8,neutral,0.4043850004673004
14,"This is an absolute supreme masterpiece!
      ",2,positive,0.9747569561004639
15,"Sooooo many awake people in here 
      ",8,neutral,0.6646752953529358
16,"Well done, i love it.
      ",5,positive,0.9858092665672302
17,"Ni hay palabras!!
      ",2,neutral,0.7182323336601257
18,"The song used in this ad is San Francisco by Daniel Herskedal :)
      ",6,positive,0.6475774049758911
19,"Beautiful.
      ",2,positive,0.9213792681694031
20,"What if Coca-Cola disappears once and for all? ️
      ",180,neutral,0.6225945949554443
21,"""I got a thing for Sam's chicken. If he puts his hands on a man's chicken, a man's gonna Stan Smith him""
      ",3,neutral,0.5764458775520325
22,"You'll have a better quality of life if you stop drinking Coca-Cola and soda altogether.
      ",13,positive,0.5531828999519348
23,"Awesome once again!!!! Thank you Coca-Cola
      ",2,positive,0.9880203604698181
24,"Is it just me, or is the word ""go"" missing from this sentence in the description!
""Wait stop, who says we have to back to normal?""
      ",22,neutral,0.5123326778411865
25,"this pub is amazing
      ",1,positive,0.9773392081260681
26,"One word for it-Dope
      ",3,neutral,0.5379251837730408
27,"Therapist: real life thin ice doesnt exist it cant hurt you.

Real life thin ice:
      ",1,neutral,0.5441344976425171
28,"Why has this campaign so little views? Very powerful words! Great work with an outstanding choice of music!
Background song: https://www.youtube.com/watch?v=3d3QbwWnLbc
      ",1,positive,0.9648255109786987
29,"While I'm not gonna drink more coke just because coca-cola made this ad, It genuinly warmed my heart watching this beautiful ad. I cant believe that they were able to create such a beautiful, poetic and musical masterpiece. I truly felt it in my heart, such a beautiful feeling️
      ",3,positive,0.9568045735359192
30,"Can someone explain to me why so many dislikes. This is beautiful to me.
      ",3,positive,0.46996963024139404
31,"Coca cola 1938: swastikas
Coca cola now:
      ",132,neutral,0.6913776397705078
32,"Wonderful and inspiring poem and the video
      ",4,positive,0.9733747839927673
33,"Never, never Coca Cola again...
      ",125,negative,0.778496265411377
34,"Perdón, por todos los que nos dejaron
      ",1,neutral,0.8241772055625916
35,"I love how everyone talks trash, but this form of neuromarketing clearly works. There is sold almost 2 billion of their products every day... that means, 1/4 people on this earth, buy a product from Coca Cola every single day. That is pretty insane when you think about it.
      ",1,positive,0.39020591974258423
36,"""Funny beats sexy any day?"" I believe Fred Nietzsche termed that ""slave morality""
      ",1,neutral,0.5874689221382141
