,comment,likes,label,score
0,"I actually heard Sabali for the first time over a radio feed at a Nando's restaurant in 2018, it was crazy hearing it again somewhere else but its awesome whoever at Coke chose to put it in this ad.",18,positive,0.9330433011054993
1,This song has been on my daily playlist for months. Felt so good hearing it on TV.,13,positive,0.9839680194854736
2,"I totally teared up, Coca-Cola.  BRAVO to the writer,  producers, actors ALL!!",14,positive,0.973935067653656
3,"It's the song for me... ️
It absolutely triggers goose bumps..",17,positive,0.9713404774665833
4,WE NEED THE FULL SONG! lol I always get excited when it comes on tv and I started singing or dancing along to it.,5,positive,0.9623855948448181
5,You need to know that I watch this commercial almost every day and it gives me a relaxing feeling. It makes me feel like there's more to life and that the friends and family we make are sources of happiness. Lovely advert.,2,positive,0.9826864004135132
6,"Such a beautiful song from 2008. This paired with the commercial makes me sad but hopefully that the world will go back to normal someday. Funny how everyone hated modern times (clothes,music,movies,games,trends) back in 2019 but now we all want to go back, I know I certainly do. Also the song is Sabali  by Amadou and Mariam. Very fitting that Sabali means Patience in English :)",3,positive,0.7033777236938477
7,I am in love with this music. Something magical. Stays in my head wanting to hear it.,3,positive,0.9814715385437012
8,Sabali - patience . Good song and the meaning it gives.,11,positive,0.9563780426979065
9,"Love the song, and the commercial even more.",3,positive,0.9843085408210754
10,This song has been stuck in my head for days!,9,positive,0.9377508759498596
11,Beautiful Commercial Beautiful Drink Big Coca Cola Fan ,3,positive,0.9852462410926819
12,Que propaganda Linda ,5,neutral,0.5028938055038452
13,"Amadou et Mariam, great job!!",4,positive,0.9835153818130493
14,I miss my family  because of this ad ️️  loved it ,6,positive,0.8974604606628418
15,Such a great commercial.,4,positive,0.9801836609840393
16,If I see this commercial one more time on Hulu I might toss my computer,89,negative,0.92607581615448
17,This wish that some of us have for the world to be a better place... Where many people can enjoy of simply being together,1,positive,0.7758886218070984
18,Easily the best commercial I’ve seen.,2,positive,0.986588180065155
19,️Thank you Coca-Cola.... ️️️,2,positive,0.9675172567367554
20,I Just hope Amadou & Mariam are making big money from this,3,positive,0.7849470973014832
21,I feel like I’m with my family again ,2,positive,0.8422254323959351
22,This is beautiful:'(,3,positive,0.9583839178085327
23,I love this song🇲🇦,2,positive,0.9802112579345703
24,"Watching this from Uganda but I swear, it's the reason I wil make Coca-Cola my priority.",1,positive,0.7138445377349854
